Pariah,"Zigal, Thomas",3/01-- 9,9
Into Thin Air,"Zigal, Thomas",3/01-- 7.5,7.5
Into Thin Air,"Zigal, Thomas",10/95-- 7,7
Dating Big Bird,"Zigman, Laura",4/00-- 7.3,7.3
Last Kabbalist of Lisbon,"Zimler, Richard",3/01-- 6.5,6.5
Crimson Green,"Zimmerman, Bruce",6/95-- 7.5,7.5
"Silver Sword, The","Zindell, David",8/07-- 7.3,7.3
"Fourth Circle, The","Zircokovic, Zoran",5/04-- 7,7
Dark Revelations,"Zuiker, Anthony E & Duane Swierczynski",7/12-- 8,8
Level 26,"Zuiker, Anthony E. & Duane Swierczynski",2/10-- 8,8
