"Garbage Collector, The","Amore, Dani",4/12-- 8,8
Scale of Justice,"Amore, Dani",4/12-- 8,8
To Find A Mountain,"Amore, Dani",4/12-- 8,8
"Killing League, The","Amore, Dani",4/12-- 7.5,7.5
"Killing League, The","Amore, Dani",4/12-- 7.5,7.5
Cold Glory,"Anderson, B. Kent",12/11-- 8,8
I am Dracula,"Anderson, C. Dean",1/97-- 7.5,7.5
"Arthur,King","Anderson, Dennis Lee",6/95-- 8,8
Millennium,"Anderson, Jack",12/94-- 7,7
Antibodies,"Anderson, Kevin J.",12/97-- 8,8
Hidden Empire Saga of Seven Suns Bk 1,"Anderson, Kevin J.",8/02-- 7.6,7.6
The X-Files Ground Zero,"Anderson, Kevin J.",1/96-- 7.5,7.5
Fantastic Voyage,"Anderson, Kevin J.",6/01-- 7,7
Horizon Storms Bk3 Saga of the Seven Suns,"Anderson, Kevin J.",7/04-- 7,7
Jedi Search Vol1 Jedi academy Trilogy,"Anderson, Kevin J.",11/94-- 7,7
Star Wars: shadow of the Empire,"Anderson, Kevin J.",4/96-- 7,7
Captain Nemo,"Anderson, Kevin J.",2/02-- 6,6
Hopscotch,"Anderson, Kevin J.",2/02-- 6,6
Metal Swarm,"Anderson, Kevin J.",1/08-- 6,6
Scattered Suns: Saga of Seven Seas Bk4,"Anderson, Kevin J.",7/05-- 6,6
Star Wars Darksaber,"Anderson, Kevin J.",11/95-- 6,6
Of Fire and Night: Saga of the Seven Seas Bk5,"Anderson, Kevin J.",7/06-- 5,5
Ignition,"Anderson, Kevin J. & Doug Beason",3/97-- 8,8
Lethal Exposure,"Anderson, Kevin J. & Doug Beason",7/98-- 7.1,7.1
Illwind,"Anderson, Kevin J. & Doug Beason",7/95-- 7,7
Fallout,"Anderson, Kevin J. & Doug Beason",4/97-- 6,6
Turn of the Century,"Anderson, Kurt",5/99-- 7.2,7.2
True Believers,"Anderson, Kurt",9/12-- 6,6
Defender of the Empire Bk1 A Circus of Hells,"Anderson, Poul",3/93-- 8.5,8.5
Defender of the Empire Bk2 The Rebel Worlds,"Anderson, Poul",3/93-- 8,8
For Love and Glory,"Anderson, Poul",3/03-- 7.2,7.2
"Fleet of Stars, The","Anderson, Poul",2/97-- 7,7
Harvest of Stars,"Anderson, Poul",8/93-- 7,7
Mother of Kings,"Anderson, Poul",10/01-- 7,7
Starfarers,"Anderson, Poul",11/98-- 7,7
War of Gods,"Anderson, Poul",9/97-- 7,7
Genesis,"Anderson, Poul",2/00-- 6,6
Harvest the Fire,"Anderson, Poul",11/95-- 6,6
Operation Luna,"Anderson, Poul",8/99-- 6,6
The Stars are also Fire,"Anderson, Poul",7/94-- 5,5
Day of their Return,"Anderson, Poul",8/94-- 4,4
And Eternity:Book 7 Incarnations of Immortality,"Anderson, Poul",yes,
Boat of a Million Years,"Anderson, Poul",No,
Conan the Rebel,"Anderson, Poul",No,
Earth Book of Stormgate,"Anderson, Poul",No,
Shield of Time:Novel Time Patrol,"Anderson, Poul",Yes,
Time Patrol,"Anderson, Poul ",Yes,
Triage,"Anderson, Scott",10/98-- 7.6,7.6
Into the Storm,"Anderson, Taylor",10/08-- 6,6
Maelstrom,"Anderson, Taylor",9/09-- 6,6
Smoke Eaters,"Andreae, Christine",5/00-- 7.2,7.2
"Crouching Buzzard, Leaping Lizard","Andrews, Donna",5/03-- 7.2,7.2
Murder with Puffins,"Andrews, Donna",6/00-- 7.2,7.2
You've Got Murder,"Andrews, Donna",6/02-- 7,7
Murder with Peacocks,"Andrews, Donna",2/99-- 6,6
Immunity,"Andrews, Lori",10/08-- 8,8
Sequencing,"Andrews, Lori",1/07-- 8,8
"Murder Of Honor, A","Andrews, Robert",4/01-- 8.8,8.8
"Murder of Promise, A","Andrews, Robert",3/02-- 8.3,8.3
Gideon,"Andrews, Russell",9/99-- 9,9
Aphrodite,"Andrews, Russell",2/04-- 8.8,8.8
Icarus,"Andrews, Russell",8/01-- 8.2,8.2
Midas,"Andrews, Russell",7/05-- 8.2,8.2
Hades,"Andrews, Russell",4/07-- 7.8,7.8
Bone Hunter,"Andrews, Sarah",1/00-- 8.5,8.5
Dead Dry,"Andrews, Sarah",1/06-- 7.8,7.8
"Fall in Denver, A","Andrews, Sarah",1/00-- 7.8,7.8
Mother Nature,"Andrews, Sarah",6/97-- 7.5,7.5
An Eye for Gold,"Andrews, Sarah",10/00-- 7.4,7.4
Fault Lines,"Andrews, Sarah",2/02-- 7,7
Killer Dust,"Andrews, Sarah",4/03-- 6.5,6.5
In Cold Pursuit,"Andrews, Sarah",11/07-- 6,6
Hidden Jewel,"Andrews, V. C.",11/95-- 8.5,8.5
Rain,"Andrews, V. C.",3/00-- 8.5,8.5
Flowers in the Wind,"Andrews, V. C.",3/98-- 8.2,8.2
All that Glitters,"Andrews, V. C.",5/95-- 8,8
Melody,"Andrews, V. C.",10/96-- 8,8
Pearl in the Mist,"Andrews, V. C.",10/94-- 8,8
Petals on the Wind,"Andrews, V. C.",3/98-- 7.9,7.9
Heaven,"Andrews, V. C.",12/98-- 7.8,7.8
Orphans: Brooke,"Andrews, V. C.",11/98-- 7.8,7.8
Orphans: Raven,"Andrews, V. C.",11/98-- 7.7,7.7
Runaways,"Andrews, V. C.",12/98-- 7.7,7.7
Eye of the Storm,"Andrews, V. C.",11/00-- 7.5,7.5
Falling Stars,"Andrews, V. C.",1/02-- 7.5,7.5
Lightning Strikes,"Andrews, V. C.",7/00-- 7.5,7.5
Ruby,"Andrews, V. C.",3/94-- 7.5,7.5
Secrets of the Morning,"Andrews, V. C.",6/98-- 7.5,7.5
Wicked Forest,"Andrews, V. C.",6/02-- 7.5,7.5
If There Be Thorns,"Andrews, V. C.",3/98-- 7.4,7.4
"End of the Rainbow, The","Andrews, V. C.",2/01-- 7.3,7.3
Flowers in the Attic,"Andrews, V. C.",1/99-- 7.2,7.2
Music in the Night,"Andrews, V. C.",2/98-- 7.2,7.2
Olivia,"Andrews, V. C.",1/99-- 7.2,7.2
Orphans: Butterfly,"Andrews, V. C.",5/98-- 7.2,7.2
Broken Wings,"Andrews, V. C.",5/03-- 7.1,7.1
Crystal,"Andrews, V. C.",11/98-- 7,7
Into the Garden,"Andrews, V. C.",12/99-- 7,7
Into the Woods,"Andrews, V. C.",1/03-- 7,7
My Sweet Audrina,"Andrews, V. C.",3/98-- 7,7
Tarnished Gold,"Andrews, V. C.",2/96-- 7,7
Unfinished Symphony,"Andrews, V. C.",11/97-- 7,7
Willow,"Andrews, V. C.",2/02-- 7,7
Garden of Shadows,"Andrews, V. C.",3/98-- 6.5,6.5
Heart Song,"Andrews, V. C.",6/97-- 6.5,6.5
Seeds of Yesterday,"Andrews, V. C.",3/98-- 6.5,6.5
Midnight Whispers,"Andrews, V. C.",no,
River Angel,"Ansay, A. Manette",5/98-- 7,7
"Secret life of Laszlo Count Dracula, The","Anscombe, Roderick",2/95-- 6,6
Seven Moves,"Anshaw, Carol",3/97-- 7.5,7.5
Seven Moves,"Anshaw, Carol",11/96-- 6,6
Betrayal,"anthony, Evelyn",5/04-- 7,7
Codeword Janus,"Anthony, Evelyn",1/04-- 6.5,6.5
Bloodstones,"Anthony, Evelyn",3/95-- 6,6
"Doll's House, The","Anthony, Evelyn",6/94-- 6,6
Mind Games,"Anthony, Evelyn",7/05-- 6,6
Exposure,"Anthony, Evelyn",6/94-- 5,5
"Keep of Fire, The","Anthony, Mark",3/00-- 7.5,7.5
Beyond the Pale Bk1 The Last Rune,"Anthony, Mark",12/98-- 7.3,7.3
"Dark Remains, The: Bk3 The Last Rune","Anthony, Mark",4/01-- 7.2,7.2
Flanders,"Anthony, Patricia",6/98-- 7.9,7.9
Cold Allies,"Anthony, Patricia",8/93-- 7,7
God's Fires,"Anthony, Patricia",3/98-- 7,7
Demons Don't Dream,"Anthony, Piers",4/93-- 9,9
